task,crop,dr,model,published,new,delta
regression,Onion,KernelPCA,Random forest,0.4486,0.511946709273042,0.0633
regression,Carrot,KernelPCA,k-NN,0.1947,0.19190473556518553,-0.0028
regression,Lettuce,KernelPCA,k-NN,0.7256,0.7035846590995789,-0.022
regression,Onion,KernelPCA,k-NN,0.4693,0.491016149520874,0.0217
regression,Carrot,KernelPCA,MLP,0.1669,0.18086593151092525,0.014
regression,Lettuce,KernelPCA,MLP,0.655,0.6874113857746125,0.0324
regression,Onion,KernelPCA,MLP,0.3887,0.45168147683143617,0.063
regression,Carrot,KernelPCA,LSTM,0.19,0.19037699103355402,0.0004
regression,Lettuce,KernelPCA,LSTM,0.6343,0.6700531482696533,0.0358
regression,Onion,KernelPCA,LSTM,0.3791,0.4949684262275696,0.1159
regression,Carrot,KernelPCA,RNN GRU,0.2013,0.1955613791942596,-0.0057
regression,Lettuce,KernelPCA,RNN GRU,0.7218,0.6822443306446075,-0.0396
regression,Onion,KernelPCA,RNN GRU,0.4615,0.49094549417495725,0.0294
regression,Carrot,BOTCAST,Decision tree,0.1413,0.24465577192854315,0.1034
regression,Lettuce,BOTCAST,Decision tree,0.1827,0.4374331325540831,0.2547
regression,Onion,BOTCAST,Decision tree,0.0541,0.3342782731592461,0.2802
regression,Carrot,BOTCAST,Random forest,0.2284,0.23732419179387726,0.0089
regression,Lettuce,BOTCAST,Random forest,0.5785,0.5484058859295549,-0.0301
regression,Onion,BOTCAST,Random forest,0.4649,0.47971247026502273,0.0148
regression,Carrot,BOTCAST,k-NN,0.1002,0.1550143420696258,0.0548
regression,Lettuce,BOTCAST,k-NN,0.4457,0.517071008682251,0.0714
regression,Onion,BOTCAST,k-NN,0.4317,0.439847332239151,0.0081
regression,Carrot,BOTCAST,MLP,0.2741,0.23180131316185,-0.0423
regression,Lettuce,BOTCAST,MLP,0.4966,0.4896524965763092,-0.0069
regression,Onion,BOTCAST,MLP,0.4465,0.42884793877601624,-0.0177
regression,Carrot,BOTCAST,LSTM,0.1715,0.19129573106765746,0.0198
regression,Lettuce,BOTCAST,LSTM,0.3764,0.6657885849475861,0.2894
regression,Onion,BOTCAST,LSTM,0.2354,0.45974987745285034,0.2243
regression,Carrot,BOTCAST,RNN GRU,0.2123,0.2340335071086883,0.0217
regression,Lettuce,BOTCAST,RNN GRU,0.4817,0.6608315944671631,0.1791
regression,Onion,BOTCAST,RNN GRU,0.4212,0.4632348001003265,0.042
