split,task,crop,dr,model,seq_len,score_mean,score_ci,score_std,fit_seconds,predict_seconds,n_components,epochs,n_runs
random,classification,Carrot,MDS,RNN GRU,1,0.7340274905177278,0.019795152763537962,0.03193763743048798,0.8421234371198807,0.00045714400475839,22,28.0,10
random,classification,Carrot,MDS,Random forest,1,0.7291769502257639,0.016084726684093713,0.025951210134195817,2.9900990173589284,0.0015579510014503799,22,0.0,10
random,classification,Carrot,MDS,k-NN,1,0.7192959900843515,0.019814282420574397,0.031968501352474234,2.96505850207371,0.00223021058482114,22,0.0,10
random,classification,Carrot,No Reduction,Decision tree,1,0.7116866213959264,0.03178104373102603,0.0512757574527847,2.483837976772338,8.710952242836356e-05,134,0.0,10
random,classification,Carrot,No Reduction,LSTM,1,0.7332394255891883,0.021657261428589727,0.03494197652859979,7.761495096993167,0.33342092444654553,134,70.8,10
random,classification,Carrot,No Reduction,MLP,1,0.730052364022866,0.022206475235102822,0.0358280819117592,12.908831000258214,0.13114267938653934,134,29.9,10
random,classification,Carrot,No Reduction,RNN GRU,1,0.7466295957252429,0.017515887755708642,0.028260255381578718,1.6349032779573462,0.0005225943983532099,134,24.4,10
random,classification,Carrot,No Reduction,Random forest,1,0.7362062425463618,0.015252883364227652,0.024609108324413806,2.499293544329703,0.00113799749524328,134,0.0,10
random,classification,Carrot,No Reduction,k-NN,1,0.7167640481897588,0.02686696863028215,0.04334735443672752,2.482422695553396,0.00214502901071677,134,0.0,10
random,classification,Carrot,PCA,Decision tree,1,0.7158399876700737,0.025890881010616,0.041772527868341174,2.557274195041585,8.234060369431973e-05,11,0.0,10
random,classification,Carrot,PCA,LSTM,1,0.7419731075053573,0.0192067829849426,0.030988357529074577,13.372038166603307,0.3655585925094783,11,92.0,10
random,classification,Carrot,PCA,MLP,1,0.737934300166766,0.017888745066843462,0.02886182596598287,14.848644332168623,0.12559457662864582,11,47.3,10
random,classification,Carrot,PCA,RNN GRU,1,0.7406333840286405,0.016244002331272853,0.02620818657342208,1.5353617029148154,0.00048003800911822995,11,26.6,10
random,classification,Carrot,PCA,Random forest,1,0.7140737023295495,0.027457215824959205,0.04429966337433172,2.5786762921915702,0.00140897018136452,11,0.0,10
random,classification,Carrot,PCA,k-NN,1,0.712827460086504,0.02793509286279988,0.04507067351773534,2.556790716715235,0.00225474858889353,11,0.0,10
random,classification,Lettuce,BOTCAST,Decision tree,1,0.8801071930497294,0.012517198488953532,0.02019533528036284,2.403787018182144,8.369946735911071e-05,5,0.0,10
random,classification,Lettuce,BOTCAST,LSTM,1,0.8801071930497294,0.012517198488953532,0.02019533528036284,13.666974156087964,0.37657893534051257,5,89.7,10
random,classification,Lettuce,BOTCAST,MLP,1,0.8801071930497294,0.012517198488953532,0.02019533528036284,15.340195918281097,0.1176829829870257,5,47.6,10
random,classification,Lettuce,BOTCAST,RNN GRU,7,0.8657707279527532,0.022845008507894442,0.036858295944322036,2.3223157445725517,0.0020434882200788098,5,44.2,10
random,classification,Lettuce,BOTCAST,Random forest,1,0.8801071930497294,0.012517198488953532,0.02019533528036284,2.4104381266961963,0.00063153310911726,5,0.0,10
random,classification,Lettuce,BOTCAST,k-NN,1,0.8627858172433474,0.01786499133934796,0.028823501536490638,2.4036327450458583,0.00260852911742399,5,0.0,10
random,classification,Lettuce,Isomap,Decision tree,1,0.8534416860027154,0.018966998807348017,0.030601488065773924,3.1806538244825786,9.07815236132592e-05,22,0.0,10
random,classification,Lettuce,Isomap,LSTM,1,0.8704738326839829,0.019214220633442646,0.031000357483001003,6.845102888671681,0.42398757755872796,22,30.7,10
random,classification,Lettuce,Isomap,MLP,1,0.8714917496959116,0.016274323828775545,0.026257107488817794,10.74591327305534,0.1183695297746453,22,18.7,10
random,classification,Lettuce,Isomap,RNN GRU,1,0.8711603840787083,0.017664069542752722,0.028499332909544723,1.7292441665311344,0.00057836386258709,22,18.4,10
random,classification,Lettuce,Isomap,Random forest,1,0.8640626552883797,0.013189380448553556,0.02127983833873598,3.2031615660700483,0.0013297547004185,22,0.0,10
random,classification,Lettuce,Isomap,k-NN,1,0.8583085124230081,0.02478365802264565,0.03998612658278835,3.1773574038175867,0.00259090891340742,22,0.0,10
random,classification,Lettuce,KernelPCA,Decision tree,1,0.8704353460701441,0.018224551336796735,0.029403618142318427,2.8383439947094304,9.543766500427647e-05,22,0.0,10
random,classification,Lettuce,KernelPCA,LSTM,1,0.8693360383545494,0.017982770629594386,0.0290135274642339,9.95644002247136,0.4024995227402542,22,60.6,10
random,classification,Lettuce,KernelPCA,MLP,1,0.880907860272415,0.01241364799143394,0.020028266185972268,12.098903753102059,0.12130596068454902,22,23.1,10
random,classification,Lettuce,KernelPCA,RNN GRU,1,0.876406788863029,0.01805806419498626,0.029135006627393635,1.274641405028524,0.00027378273080100004,22,60.0,10
random,classification,Lettuce,KernelPCA,Random forest,1,0.8693953254879616,0.01676810161297733,0.027053772007220186,2.8563184239028487,0.0011705435346811399,22,0.0,10
random,classification,Lettuce,KernelPCA,k-NN,1,0.8616988439644157,0.024003029224835954,0.03872665463983033,2.8362059888255318,0.00258563905372279,22,0.0,10
random,classification,Lettuce,MDS,Decision tree,1,0.8551114021602766,0.019145208653982292,0.030889013074362506,3.2171931085739445,9.883466991593805e-05,22,0.0,10
random,classification,Lettuce,MDS,LSTM,1,0.8780243255818496,0.015760609488962057,0.025428277192644122,7.728062622365542,0.5114132948394399,22,36.7,10
random,classification,Lettuce,MDS,MLP,1,0.876231652183038,0.01524759243780385,0.024600571906846655,12.508080355875427,0.14707763514597896,22,33.8,10
random,classification,Lettuce,MDS,RNN GRU,1,0.8767148626662487,0.015430624418888872,0.02489587698076581,1.8635813365748617,0.00055570162367069,22,23.4,10
random,classification,Lettuce,MDS,Random forest,1,0.8785846848722327,0.012357994821210446,0.019938474973260376,3.237163085104354,0.0012100708961951998,22,0.0,10
random,classification,Lettuce,MDS,k-NN,1,0.8600124361333558,0.019775127557494443,0.03190532862349224,3.2144530542233647,0.00256606187904247,22,0.0,10
random,classification,Lettuce,No Reduction,Decision tree,1,0.8710336542675703,0.016364098070491297,0.026401949876081174,2.5556526889597686,8.881057146936655e-05,132,0.0,10
random,classification,Lettuce,No Reduction,LSTM,1,0.8726328926644451,0.017370642126806366,0.028025915071622203,8.691829283966218,0.3298720385355409,132,77.2,10
random,classification,Lettuce,No Reduction,MLP,1,0.8780662140175999,0.013966857853643494,0.02253422580271639,23.446581453923137,0.12120307721779677,132,28.2,10
random,classification,Lettuce,No Reduction,RNN GRU,1,0.8744314779086876,0.016126826286173297,0.026019133925603073,2.3310473975667265,0.00060198887949803,132,24.4,10
random,classification,Lettuce,No Reduction,Random forest,1,0.8713974741723896,0.018843108171385414,0.030401602050259352,2.568124039253841,0.00092499797465275,132,0.0,10
random,classification,Lettuce,No Reduction,k-NN,1,0.8669761908989633,0.02106868027819049,0.03399235559844485,2.553987055787972,0.0026890159118919997,132,0.0,10
random,classification,Lettuce,PCA,Decision tree,1,0.8684343484137889,0.02321020285401084,0.0374475030475586,2.6348011926728456,8.369451388716698e-05,14,0.0,10
random,classification,Lettuce,PCA,LSTM,1,0.8780662140175999,0.013966857853643494,0.02253422580271639,15.044845090527087,0.35221168358693833,14,98.5,10
random,classification,Lettuce,PCA,MLP,1,0.8815790545215908,0.012652320257650196,0.020413341683705642,23.956363122974288,0.15223817664664235,14,34.9,10
random,classification,Lettuce,PCA,RNN GRU,1,0.8801071930497294,0.012517198488953532,0.02019533528036284,2.152501366107026,0.0005642096861265199,14,23.2,10
random,classification,Lettuce,PCA,Random forest,1,0.8803741985816501,0.01480147657154733,0.02388080545903556,2.652646275799877,0.00111573137692171,14,0.0,10
random,classification,Lettuce,PCA,k-NN,1,0.8652619146564005,0.022413520698875946,0.03616213050600866,2.6340365200516924,0.00278087518527169,14,0.0,10
random,classification,Onion,BOTCAST,Decision tree,1,0.7606578248922117,0.016610392353090406,0.02679932278816811,2.5359132013962755,8.136057294905186e-05,8,0.0,10
